Drug Name,Article Content,Side Effects
Methotrexate,"Methotrexate is a type of medicine called an immunosuppressant. It slows down your body's immune system and helps reduce swelling (inflammation). It's used to treat inflammatory conditions, including: rheumatoid arthritis psoriasis (including psoriatic arthritis) Crohn's disease It can also be prescribed for cancer . Methotrexate is available on prescription only. It comes as tablets, a liquid that you swallow, and pre-filled injection pens or syringes that you inject into your skin. Your specialist doctor may recommend injections if the tablets or liquid are not working for you. It can also be given as an injection to treat some types of cancer. This is usually done in hospital. Key facts For conditions such as psoriasis, rheumatoid arthritis and Crohn's disease, you'll take methotrexate once a week. It's important to take it on the same day each week. You'll get a patient card to record the details of your weekly dose and the day you take it. Keep this with you and show it to any healthcare staff involved in your care. You'll also usually get a booklet to record how much you take and your blood test results. Taking methotrexate can mean you're more likely to get infections. Ask your doctor for urgent advice if you get an infection, such as COVID-19, or if you've been in contact with anyone who has chickenpox or shingles while taking methotrexate. It's important to have any vaccinations when you're invited. Tell the person giving the vaccine that you take methotrexate, to make sure the vaccine is suitable for you. It's best to avoid too much caffeine, and foods that can cause an infection such as unpasteurised milk and cheeses. If you're taking high doses, check with your doctor that you can drink alcohol.",
Metoclopramide,"Metoclopramide is an anti-sickness medicine (known as an antiemetic). It's used to help stop you feeling or being sick (nausea or vomiting) including: after radiotherapy or chemotherapy (treatment for cancer) sickness you may get with a migraine if you've had an operation at the end of life (palliative care) Metoclopramide comes as tablets or a liquid that you swallow. It can also be given as an injection, but this is usually given in hospital or by a member of a care team visiting you at home. It's only available on prescription. For migraines, you can also get metoclopramide combined with the painkillers aspirin (brand name Migramax) or paracetamol (brand name Paramax). These are both prescription only. Key facts You'll usually only take metoclopramide for a short time (up to 5 days). The most common side effects are feeling sleepy (drowsy) and diarrhoea. Avoid drinking alcohol with metoclopramide. It will make you feel more sleepy. Metoclopramide tablets and liquid usually start to work after 30 to 60 minutes.",The most common side effects are feeling sleepy (drowsy) and diarrhoea.
Metoprolol,"Metoprolol belongs to a group of medicines called beta blockers . It's used to: treat high blood pressure (hypertension) treat conditions that cause an irregular heartbeat (arrhythmia) help prevent future heart disease , heart attacks and strokes help prevent chest pain caused by angina prevent migraines reduce your symptoms if you have too much thyroid hormone in your body (thyrotoxicosis). You'll usually take it together with other medicines to treat your symptoms Metoprolol is only available on prescription and it comes as tablets. It can also be given by injection, but this is usually done in hospital. Key facts Metoprolol slows down your heart rate and makes it easier for your heart to pump blood around your body. Your doctor may advise you to take your very first dose before bedtime as it can make you feel dizzy. If you do not feel dizzy after having your first dose, take metoprolol in the morning. Metoprolol is usually taken once or twice a day, but sometimes it's prescribed to be taken up to 4 times a day. The main side effects of metoprolol are headaches and feeling sick, dizzy or tired. These are usually mild and only last for a short time. If you're due to have surgery which involves being put to sleep (having a general anaesthetic), tell your doctor. Metoprolol can lower your blood pressure too much when used with some anaesthetics.",
Metronidazole,"Metronidazole is an antibiotic. It's used to treat skin infections, rosacea and mouth infections, including infected gums and dental abscesses . It's also used to treat conditions such as bacterial vaginosis and pelvic inflammatory disease . It's also used for infected insect bites, skin ulcers, bed sores and wounds, and to treat and prevent bacterial and parasitic infections. Metronidazole is only available on prescription. It comes as tablets, gel, vaginal gel, cream, a liquid you drink or a suppository which is a medicine that you push gently into your anus (bottom). It's also given by injection, but this is usually only done in hospital. Key facts The most common side effects of metronidazole tablets, liquid, suppositories or vaginal gel are feeling sick (nausea) or being sick (vomiting), diarrhoea, and a slight metallic taste in your mouth. It's unusual to have any side effects from metronidazole cream or gel. Do not drink alcohol while taking a course of metronidazole tablets, liquid, suppositories or vaginal gel, or for 2 days after finishing treatment. Alcohol can cause side effects such as feeling and being sick, stomach pain, hot flushes, difficulty breathing, a pounding heartbeat (palpitations) and headaches. For most infections, you'll start to feel better in a few days, but for some it may take longer. When treating rosacea, you may only notice a difference after several weeks. It's important to take metronidazole as your doctor tells you, and finish your full course of treatment.","The most common side effects of metronidazole tablets, liquid, suppositories or vaginal gel are feeling sick (nausea) or being sick (vomiting), diarrhoea, and a slight metallic taste in your mouth."
Mirabegron,Mirabegron is a medicine that eases the symptoms of an overactive bladder. It does not treat your condition. It helps with symptoms such as: a sudden and urgent need to pee (urinary urgency) needing to pee more often than usual (urinary frequency) wetting yourself if you cannot make it to the toilet in time ( urinary incontinence ) Mirabegron works by relaxing the muscles around your bladder. This means your bladder can hold more liquid and you will not need to pee as often or as urgently. This medicine is only available on prescription. It comes as slow-release tablets (sometimes called modified release or prolonged release). This means the tablets release mirabegron slowly and evenly throughout the day. Key facts Mirabegron starts to work within a few hours but it can take several weeks to work fully. You'll usually take mirabegron once a day. Common side effects include urinary tract infections (UTIs) and a fast heartbeat. Your doctor may recommend mirabegron if other medicines for overactive bladder have not helped or are not suitable for you. You'll usually take this medicine long term to help keep your symptoms under control.,
Mirtazapine,"Mirtazapine is an antidepressant medicine. It's used to treat depression and sometimes obsessive compulsive disorder (OCD) and anxiety . It works by increasing the amount of mood-enhancing chemicals called noradrenaline and serotonin in your brain. Mirtazapine is only available on prescription. It comes as tablets, tablets that dissolve in your mouth or as a liquid that you swallow. Key facts Mirtazapine usually takes about 4 to 6 weeks to work. Common side effects include headaches, dry mouth and feeling sick. They're usually mild and go away after a couple of weeks. If you and your doctor decide to take you off mirtazapine, your doctor will probably recommend reducing your dose gradually to help prevent extra side effects. Mirtazapine is not a sleeping tablet but it can make you feel sleepy. This can be helpful if you have depression and difficulties getting to sleep.",
Mometasone-for-skin,"Mometasone is used to treat the itching, swollen and irritated skin you may get if you have eczema (different types, including atopic dermatitis and seborrheic dermatitis) or psoriasis . Mometasone skin treatments are a type of medicine known as a steroid (or corticosteroid). They're not the same as anabolic steroids . Mometasone for skin does not cure conditions like eczema but it reduces the swelling (inflammation) in your skin to help manage your symptoms. Mometasone skin treatments come as a cream, ointment or scalp lotion. It's stronger than some other treatments and is usually prescribed when milder steroids, like hydrocortisone , have not worked. Mometasone skin treatments are available on prescription only. Mometasone also comes as an inhaler to treat asthma and chronic obstructive pulmonary disease (COPD) , and a nasal spray for allergic rhinitis, hay fever and nasal polyps . Key facts It's important to follow the instructions when using a steroid skin treatment. This helps to avoid side effects. Only use a mometasone skin treatment if your doctor prescribes it for you. Do not use someone else's medicine. Only use mometasone on your face if your doctor says it's OK. Mometasone skin treatments will not help with conditions such as acne or rosacea. Only use mometasone on large areas of your body or for long periods of time if your doctor says it's OK. If you use mometasone skin treatments for a long time your doctor might advise you to reduce your dose gradually to avoid withdrawal reactions. Mometasone should not be used on children for more than 5 days, unless a doctor says it's OK. You may get a blue steroid treatment card if your doctor has prescribed a very high dose of mometasone skin treatment to control your symptoms. Show this card to your doctor or dentist before any treatment, so they know you're using it. You may also need to carry a red steroid emergency card (for adults) or an adrenal insufficiency card (for children). Ask your pharmacist or doctor about both of these.",
Mometasone-nasal-spray,"Mometasone nasal (nose) spray is used to treat cold-like symptoms caused by allergic rhinitis . This is swelling (inflammation) of the inside of the nose that can be caused by allergies like hay fever . It's also used to treat nasal polyps (painless, soft growths inside the nose). Mometasone is a type of medicine known as a steroid (or corticosteroid) . Corticosteroids are a copy of a hormone that your body makes naturally. They're not the same as anabolic steroids . It works on your immune system to reduce the symptoms of inflammatory conditions and allergic reactions, such as redness, swelling and itching. For adults, mometasone nasal spray is available on prescription, or from pharmacies where it's often sold as Clarinaze. For children aged 3 to 17 years old, mometasone nasal spray is only available on prescription. Ryaltris, another prescription-only nasal spray, contains mometasone mixed with an antihistamine . Mometasone also comes as: a cream, ointment or scalp lotion for eczema and psoriasis an inhaler (puffer) for asthma Key facts You'll need to use mometasone nasal spray regularly for it to work, and it may take a few days or up to several weeks to work fully. If you're using it for nasal polyps, it may take up to 2 months to get better. If you're using it for hay fever, start a couple of weeks before the hay fever season begins. The most common side effects are an unpleasant smell, a dry or sore nose or throat, and nose bleeds. You may get a blue steroid treatment card if your doctor has prescribed a very high dose of mometasone nasal spray to control your symptoms. Show this card to your doctor or dentist before any treatment, so they know you're using it. You may also need to carry a red steroid emergency card (for adults) or an adrenal insufficiency card (for children). Ask your pharmacist or doctor.","The most common side effects are an unpleasant smell, a dry or sore nose or throat, and nose bleeds."
Montelukast,"Montelukast is used to prevent the symptoms of asthma . It's usually prescribed when asthma is mild and can stop it from getting worse. It can also help people with asthma who have breathing difficulties when they exercise (exercise-induced asthma) and seasonal allergies, such as sneezing, itchiness and a blocked or runny nose ( allergic rhinitis ). Montelukast is sometimes given to people without asthma to treat hives (urticaria) that last for more than 6 weeks. It's only available on prescription. It comes as tablets or granules. Important Do not use montelukast to treat an asthma attack. Always use your reliever inhaler. Key facts Montelukast helps stop your airways from narrowing (caused by inflammation). This makes breathing easier and prevents asthma attacks. Most people take montelukast once a day in the evening. If you take it for asthma, it's important to take it even when you have no symptoms. You'll use montelukast alongside your inhalers or other asthma medicine. Some common side effects include headaches and feeling or being sick. Less common side effects include mood changes such as depression and anxiety, sleep problems such as nightmares, and changes in your behaviour such as aggression. Speak to your doctor as soon as possible if you notice any of these side effects.",
Morphine,"Morphine is a strong painkiller. It's used to treat severe pain, for example after an operation or a serious injury, or pain from cancer or a heart attack . It's also used for other types of long-standing pain when weaker painkillers no longer work. Morphine is available only on prescription. It comes as tablets, capsules, granules that you dissolve in water, a liquid to swallow or an injection. Morphine injections are usually only done in hospital. Key facts Morphine works by blocking pain signals from travelling along the nerves to the brain. The most common side effects of morphine are constipation, feeling sick and sleepiness. It's possible to become addicted to morphine, but your doctor will explain how to reduce the risks of becoming addicted. It may be best not to drink alcohol while taking morphine as you're more likely to get side effects like feeling sleepy. Morphine is a controlled medicine. When you collect it your pharmacist will ask for proof of your identity such as your passport or driving licence. You'll also be asked to sign the back of your prescription, to confirm that you've received it.","The most common side effects of morphine are constipation, feeling sick and sleepiness."
Naproxen,"Naproxen is a non-steroidal anti-inflammatory drug (NSAID). It reduces swelling (inflammation) and pain in joints and muscles. It's used to treat: rheumatoid arthritis osteoarthritis gout period pain muscle and bone disorders, such as back pain and sprains and strains Naproxen is available on prescription as tablets or as a liquid that you swallow. Key facts Take naproxen with or just after a meal or snack. Take the lowest dose of naproxen for the shortest time to control your symptoms. The most common side effects of naproxen are confusion, headache, ringing in the ears, changes in vision, tiredness, drowsiness, dizziness and rashes. For strains and sprains, some doctors recommend waiting 48 hours before taking naproxen because it may slow down healing. If you're unsure, speak to a doctor. If you're taking naproxen for a long time or at risk of getting a stomach ulcer, your doctor may prescribe a medicine, such as omeprazole or lansoprazole , to protect your stomach.","The most common side effects of naproxen are confusion, headache, ringing in the ears, changes in vision, tiredness, drowsiness, dizziness and rashes."
Nefopam,"Nefopam is a painkiller. It treats moderate pain, for example after an operation or a serious injury, dental pain, joint pain and muscle pain, or pain from cancer . You can also take nefopam for other types of long-term pain when weaker painkillers no longer work. Nefopam is available on prescription only. It comes as tablets. Key facts Nefopam is usually prescribed when other painkillers such as paracetamol or anti-inflammatories such as ibuprofen or naproxen do not help your pain. Your pain should start to improve 1 to 2 hours after taking the tablets. The most common side effects of nefopam include feeling sick or dizzy. Rarely, it might colour your pee pink, but this is harmless and does not last long. If nefopam makes you feel sleepy or dizzy, do not drive, ride a bike, or use tools or machinery until you feel better. It's possible to become addicted to nefopam if you take it for a long time. It's best to take the lowest dose for the shortest time to control your symptoms.","The most common side effects of nefopam include feeling sick or dizzy. Rarely, it might colour your pee pink, but this is harmless and does not last long."
Nicorandil,"Nicorandil is a medicine used to treat and reduce chest pain caused by angina . It works by relaxing and widening your blood vessels and increasing the blood and oxygen supply to your heart. Your doctor will usually prescribe nicorandil when other heart medicines have not worked or are not suitable for you. This medicine is only available on prescription and comes as tablets. Key facts Taking nicorandil regularly can reduce the risk of further heart conditions. Nicorandil starts to work after about 1 hour, but it usually takes about 4 to 5 days for it to fully take effect. It may make you feel dizzy, especially when you first start taking it or after taking a bigger dose. If this happens, do not drive a car, ride a bike, or use tools or machinery until you feel better. Do not take nicorandil while you are taking medicine for erection problems (erectile dysfunction). This mix can cause a serious drop in blood pressure. Do not use salt substitutes such as Lo-Salt while taking nicorandil. This is because they're high in potassium.",
Nifedipine,"Nifedipine is a calcium channel blocker medicine used to treat high blood pressure (hypertension). If you have high blood pressure, taking nifedipine helps to prevent future heart disease , heart attacks and strokes . Nifedipine is also used to prevent chest pain caused by angina . Occasionally, it's used to treat Raynaud's phenomenon and chilblains . Nifedipine is only available on prescription. It comes as tablets or capsules. It also comes as a liquid or drops to swallow. Key facts Nifedipine works by lowering your blood pressure and making it easier for your heart to pump blood around your body. It starts to work on the day you start taking it, but it may take a couple of weeks to fully take effect. If you have high blood pressure, you may not have any symptoms, so nifedipine may not make you feel any different. But still continue to take it because it is still working. The most common side effects include headaches, flushing, constipation, a general feeling of being unwell, and swollen ankles. These usually get better after a few days of treatment. Avoid grapefruit and grapefruit juice while you're taking nifedipine. It can cause side effects or make them worse. Nifedipine is also called by the brand names Tensipine and Valni.","The most common side effects include headaches, flushing, constipation, a general feeling of being unwell, and swollen ankles. These usually get better after a few days of treatment."
Nitrofurantoin,"Nitrofurantoin is an antibiotic. It's used to treat and prevent lower urinary tract infections (UTIs) , such as cystitis . When you take nitrofurantoin, your body quickly filters it out of your blood and into your pee. This is useful if you have a urinary tract infection because it means the medicine is concentrated at the site of infection. But it means nitrofurantoin will not work for any other types of infection. Nitrofurantoin is available on prescription. It comes as capsules, tablets and a liquid that you swallow. Key facts The most common side effect of nitrofurantoin is an upset stomach. Taking this medicine with or straight after food will help prevent this. You'll feel better within a few days for most infections. You can drink alcohol while taking nitrofurantoin. Nitrofurantoin may turn your pee dark yellow or brown. This is normal. Your pee will return to its usual colour after you finish taking the medicine. It's important to complete your course of nitrofurantoin, even if you feel better, to stop your infection coming back.",
Nystatin,"Nystatin is an antifungal medicine. It's used to treat or prevent infections caused by a fungus or yeast. These include: oral thrush (mouth thrush) skin infections Nystatin kills the fungus and gets rid of the infection. It can also be used to stop you getting an infection. Nystatin is only available on prescription. It comes as a liquid (suspension) that you swirl around your mouth and then swallow. It also comes mixed with steroids, antiseptics or antibacterials as a cream or ointment. Brand names for creams and ointments containing nystatin include Trimovate, Timodine, Nystaform and Nystaform HC. Key facts Nystatin liquid, cream or ointment usually starts to work after 2 days. You usually take nystatin liquid 4 times a day after meals and before bedtime. You usually use nystatin cream or ointment 2 or 3 times a day. It's important not to eat or drink for 30 minutes after taking the liquid. Keep taking or using nystatin liquid for 2 days after your condition is better. This will help to stop it coming back again. Side effects of nystatin liquid can include diarrhoea and feeling or being sick (nausea or vomiting).",
Olmesartan,"Olmesartan is a medicine used to treat high blood pressure (hypertension). It lowers your blood pressure and makes it easier for your heart to pump blood around your body. Treating high blood pressure helps prevent future strokes , heart attacks and kidney problems. It's only available on prescription and comes as tablets. Key facts It usually takes about a week for olmesartan to start reducing high blood pressure. It may take 2 to 8 weeks to take effect fully. The main side effects of olmesartan are feeling dizzy, headaches and flu-like symptoms, but they're usually mild and only last for a short time. If you're being sick (vomiting) or have severe diarrhoea because of a stomach bug or illness while taking olmesartan, tell your doctor. You may need to stop taking it until you feel better. If you're going to be put to sleep (have a general anaesthetic ) for an operation or dental procedure, tell the doctor or dental surgeon that you're taking olmesartan. General anaesthetics can reduce your blood pressure. Do not use salt substitutes such as Lo-Salt. This is because they are high in potassium. When mixed with olmesartan, they may make the level of potassium in your blood too high.",
Oxybutynin,"Oxybutynin is a medicine used to treat symptoms of an overactive bladder. These can include: a sudden and urgent need to pee (urinary urgency) needing to pee more often than usual (urinary frequency) wetting yourself if you cannot make it to the toilet in time ( urinary incontinence ) It's also used to treat bedwetting in children (nocturnal enuresis). Oxybutynin works by relaxing the muscles in your bladder. This means your bladder can hold more liquid and you do not need to pee as often or as urgently. Oxybutynin is only available on prescription. It comes as tablets, slow-release tablets (also called prolonged release), a liquid that you swallow, or patches that you stick to your skin (transdermal patches). Key facts Oxybutynin may take 4 weeks or longer to work fully. If your symptoms do not start to improve after 1 to 2 weeks, talk to your doctor. Your doctor will do a review after 4 weeks to check oxybutynin is working and is still the best treatment for you. They'll also check that your treatment is still needed every 6 to 12 months. Common side effects of oxybutynin include a dry mouth, blurred vision, constipation and feeling dizzy or sleepy. Do not drive a car or ride a bike if oxybutynin makes you sleepy, gives you blurred vision, or makes you feel dizzy, clumsy or unable to concentrate. It's best not to drink alcohol when you first start taking oxybutynin, as it can make you very sleepy.",
Oxycodone,"Oxycodone is an opioid painkiller. It's used to treat severe pain, for example after an operation or a serious injury, or pain from cancer. Sometimes it's also used for other types of long-term pain when other painkillers, such as paracetamol , ibuprofen and aspirin , have not worked. Oxycodone is only available on prescription. It comes as slow-release tablets, standard tablets and capsules, and a liquid that you swallow. It can also be given by injection, but this is usually done in hospital. Oxycodone liquid, standard tablets, capsules and injections work quickly. They're used for pain which is expected to last for a short time and are often used when you start taking oxycodone, to help find the right dose. Oxycodone slow-release tablets gradually release the oxycodone into your body over either 12 or 24 hours. They take longer to start working but last longer. They are used for long-term pain. Sometimes your doctor may prescribe both standard and slow-release oxycodone to manage long-term pain. Oxycodone is sometimes combined with a medicine called naloxone. It comes as a tablet that is used to prevent certain side effects, such as constipation. Oxycodone with naloxone is known by the brand names Myloxifin, Oxyargin or Targinact. Key facts Oxycodone liquid and capsules work in 30 to 60 minutes but wear off after 4 to 6 hours. Slow-release tablets can take up to 1 to 2 days to work fully but the pain relief will last longer. It's possible to become addicted to oxycodone, but your doctor will explain how to reduce the risks of becoming addicted. If you need to take oxycodone for more than a few weeks, your treatment plan may include details of how and when to stop taking this medicine. The most common side effects of oxycodone are constipation, feeling sick and feeling sleepy. Do not have grapefruit juice while taking oxycodone. It can affect the way your body uses the oxycodone and cause more serious side effects.","The most common side effects of oxycodone are constipation, feeling sick and feeling sleepy."
Paracetamol-for-adults,"Paracetamol is a common painkiller used to treat aches and pain. It can also be used to reduce a high temperature. It's available to buy from a pharmacy or shop but you may be able to get it on prescription if you have long-term pain. It comes as tablets, capsules, syrup, powder that you mix with water, or suppositories. Paracetamol is also available combined with other painkillers and anti-sickness medicines. It is used in a wide range of cold and flu remedies. For under-16s, find out more about paracetamol for children . Key facts Paracetamol can take up to an hour to work. The usual dose of paracetamol is one or two 500mg tablets at a time up to 4 times in 24 hours with a maximum of 8 tablets in 24 hours. Do not take paracetamol with other medicines containing paracetamol because there is a risk of overdose. Paracetamol is safe to take during pregnancy and while breastfeeding, at recommended doses. It may not be safe for you to drink alcohol with paracetamol if you have certain health conditions, such as liver problems. Check the leaflet that comes with your medicine.",
Paroxetine,"Paroxetine is a type of antidepressant known as a selective serotonin reuptake inhibitor (SSRI) . It's often used to treat depression , and sometimes obsessive compulsive disorder (OCD) , panic attacks , anxiety or post-traumatic stress disorder (PTSD) . Paroxetine helps many people recover from depression, and it has fewer unwanted effects than older antidepressants. Paroxetine is available on prescription. It comes as tablets and as a liquid that you swallow. Key facts It usually takes 4 to 6 weeks for paroxetine to work fully. Side effects such as feeling sick or sexual problems are common. They are usually mild and go away after a couple of weeks. If you and your doctor decide that you should come off paroxetine, your doctor will probably recommend reducing your dose gradually to help prevent extra withdrawal symptoms. Paroxetine will not change your personality. It will simply help you feel like yourself again. Some people find that paroxetine affects their concentration. If this happens, it might be best to stop driving, cycling or operating tools or machinery for the first few days until you know how it makes you feel.",
Paxlovid,"Paxlovid is an antiviral medicine that works by stopping the virus that causes COVID-19 from growing and spreading in the body. It's used to treat early COVID-19 infection and help to prevent more severe symptoms. Paxlovid is a combination of 2 medicines called nirmatrelvir and ritonavir. Nirmatrelvir stops the virus from growing and spreading, and ritonavir helps nirmatrelvir from being broken down in your body long enough to do its job. It comes as tablets. You'll need to start taking them as soon as possible after you have tested positive for COVID-19 and within 5 days of your symptoms starting. Paxlovid is only available on prescription. However, you will only be eligible to have the medicine if you're in the highest risk group. If you test positive for COVID-19 and are eligible, call your GP surgery, NHS 111 or hospital specialist as soon as possible. This is so they can consider referring you for an assessment for COVID-19 treatment. Find out more about how to get treatments for COVID-19 . Key facts You will take 2 nirmatrelvir tablets and 1 ritonavir tablet twice a day for 5 days. Even if you start to feel better, it's important that you finish the course. It's important that you start taking Paxlovid within 5 days of getting COVID-19 symptoms. Paxlovid starts working soon after taking it. Side effects include diarrhoea, vomiting and a change in how food and drink tastes. There are lots of medicines that can affect the way Paxlovid works. Tell your doctor if you're taking any medicines.",
Perindopril,"Perindopril is a medicine used to treat high blood pressure (hypertension) and heart failure . It's also prescribed after a heart attack . Perindopril helps to reduce the risk of future strokes and heart attacks. It also improves your survival if you're taking it following a heart attack or heart surgery. This medicine is only available on prescription. It comes as tablets. It also comes as a liquid for people who find it difficult to swallow tablets, but your pharmacist will have to order this for you. Perindopril is also available as a tablet combined with another blood pressure medicine called indapamide . Key facts Perindopril lowers your blood pressure and makes it easier for your heart to pump blood around your body. It starts to work within a few hours, but it may take a few weeks for full effect. Your very first dose of perindopril may make you feel dizzy, so it's best to take it at bedtime. After that, if you do not feel dizzy, it's best to take perindopril in the morning before breakfast. Some people get a dry, tickly cough with perindopril. If this happens your doctor might suggest you change to a different medicine. If you get severe diarrhoea or you're being sick (vomiting) because of a stomach bug or illness, tell your doctor. You may need to stop taking perindopril for a while until you feel better. Alcohol can increase the effect of perindopril, so that it lowers your blood pressure too much, which can make you feel dizzy or lightheaded. It's best not to drink alcohol until you see how perindopril affects you. Perindopril can be called perindopril arginine, perindopril erbumine or perindopril tert-butylamine. They all work as well as each other and all contain the same amount of perindopril.",
Phenoxymethylpenicillin,"Phenoxymethylpenicillin is a type of penicillin antibiotic. It's used to treat bacterial infections, including ear , chest , throat and skin infections. It can also be used to prevent infections if you have sickle cell disease , or if you have had chorea (a movement disorder), rheumatic fever , or your spleen removed . Phenoxymethylpenicillin is only available on prescription. It comes as tablets or as a liquid that you swallow. Key facts You'll usually take phenoxymethylpenicillin 4 times a day to treat an infection. In most cases you'll start to feel better in a few days. The most common side effects of phenoxymethylpenicillin are feeling sick and diarrhoea. Some people may have an allergic reaction to antibiotics, especially phenoxymethylpenicillin and other penicillins. You can drink alcohol while taking phenoxymethylpenicillin.",The most common side effects of phenoxymethylpenicillin are feeling sick and diarrhoea.
Phenytoin,"Phenytoin is a medicine used to treat epilepsy . Seizures are bursts of electrical activity in the brain that temporarily affect how it works. Phenytoin slows down these electrical signals to stop seizures. It can also be used to treat trigeminal neuralgia , a type of nerve pain that affects your face. Phenytoin can help to relieve nerve pain by slowing down electrical impulses in the nerves and reducing their ability to transmit pain. Phenytoin is available on prescription. It comes as standard tablets, tablets that can be chewed (Infatabs), capsules and a liquid that you swallow. Key facts You'll usually take phenytoin once or twice a day. You can take it with or without food. The most common side effects are headaches and feeling dizzy. It takes around 4 weeks for phenytoin to work. If you have epilepsy, it's best to stay on the same brand of phenytoin, as other brands may not work as well for you. If you take it for trigeminal neuralgia, most people do not have to stay on the same brand. You may feel sleepy or dizzy when you first start taking phenytoin or the dose is increased. If this happens to you, do not drive, ride a bike or operate machinery until you feel better. If you have epilepsy, you're entitled to free prescriptions for all of your medicines, not just your epilepsy ones. You'll need a medical exemption certificate from your doctor's surgery.",The most common side effects are headaches and feeling dizzy.
Pioglitazone,"Pioglitazone is a medicine used to treat type 2 diabetes . Type 2 diabetes is a condition where the body does not make enough insulin, or the insulin that it makes does not work properly. This can cause high blood sugar levels ( hyperglycaemia ). Pioglitazone helps to control your blood sugar levels by helping your body make better use of the insulin it produces. Pioglitazone is only available on prescription. It comes as tablets. It also comes as tablets containing a mixture of pioglitazone and another diabetes medicine called metformin . This is known by the brand name Competact. Key facts You'll usually take pioglitazone once a day. You can take it with or without food. Pioglitazone takes a few weeks to lower your blood sugar levels. You may not feel any different if you do not have symptoms from your diabetes, but it's important to keep taking it. After 3 to 6 months, your doctor will check your blood sugar levels to see if pioglitazone is working for you. Some people find they put on weight when taking pioglitazone. Eating a healthy, balanced diet and regular exercise can help with this. If you have diabetes, you're entitled to free prescriptions for all of your medicines, not just your diabetes ones.",
Pravastatin,"Pravastatin is used to lower cholesterol if you've been diagnosed with high blood cholesterol . It's also taken to prevent heart disease, including heart attacks and strokes . Pravastatin belongs to a group of medicines called statins . Your doctor may prescribe pravastatin if you have a family history of heart disease, or a long-term health condition such as type 1 or type 2 diabetes or rheumatoid arthritis . Pravastatin is available on prescription as tablets. Key facts It's unusual to have any side effects from taking pravastatin. Do not take pravastatin if you are pregnant, trying to get pregnant or breastfeeding. Take pravastatin even if you feel well, as you will still be getting the benefits. Most people with high cholesterol do not have any symptoms. If you take your medicine pravastatin regularly, as prescribed, your cholesterol levels should drop within 4 weeks.",
Pre-Exposure-Prophylaxis-PrEP,"Pre-Exposure Prophylaxis (PrEP) is used to reduce the risk of getting HIV (human immunodeficiency virus). PrEP works by stopping HIV from getting into your body and making copies of itself (replicating). You'll only be protected from HIV infection if there are high enough levels of PrEP in your body, so it's important to take it correctly. PrEP can be used by anyone from a community or group that is most at risk of HIV, or people who have sex with people from those networks. You may benefit from taking PrEP if: you're an HIV-negative man having condomless sex with men, and other people who have sex within these networks you have a partner (or ex-partner) with HIV your partner (or ex-partner) comes from a country with high rates of HIV you have condomless sex with a partner(s) and do not know their HIV status you're a trans or non-binary person and are regularly having condomless sex you exchange sex for money, drugs, shelter or another reason you are injecting drugs Find out more about who is at risk of getting HIV . Find out more about other at-risk activities . PrEP comes as tablets that contain 2 medicines called tenofovir disoproxil and emtricitabine. Both medicines are often also used to treat HIV. You can get PrEP from a health professional at an NHS sexual health clinic . Key facts PrEP does not protect you against other sexually transmitted infections (STIs). Common side effects of PrEP include feeling sick (nausea), diarrhoea, bloating, indigestion, headache, feeling tired or weak and sleeping problems. They usually go away after the first couple of weeks. If you get stomach side effects while taking PrEP, taking it with or just after food may help. Most people can take PrEP every day but some people can take it on demand (just before and after sex). If you take PrEP daily for vaginal/frontal sex, it takes 7 days to give maximum protection. If you take it only when you need it for anal sex, you'll be protected about 2 hours after your first double dose.",
Prochlorperazine,"Prochlorperazine is an anti-sickness medicine. It can help stop you feeling or being sick (nausea or vomiting). You can take prochlorperazine to treat: sickness in pregnancy feeling dizzy or a spinning sensation ( vertigo ) motion sickness feeling sick due to migraines sickness caused by general anaesthetics after surgery sickness caused by cancer treatment or taking other medicines problems with balance such as Ménière's disease Prochlorperazine is occasionally used to treat anxiety. It comes as tablets that you swallow and tablets that dissolve in your mouth. It can also be given as an injection, but this is usually done in hospital. Prochlorperazine tablets are available on prescription. You can also buy tablets in a pharmacy without a prescription to treat nausea and vomiting, but only if you've been previously diagnosed with migraines and are 18 years old or over. Key facts Prochlorperazine starts to work in around 30 to 60 minutes. If you're taking it for Ménière's disease, it will take a few days to work fully. Common side effects include feeling sleepy and a dry mouth. They're usually mild and go away by themselves. You can usually take prochlorperazine when you need it, up to 3 times a day. Only take prochlorperazine long term if your doctor advises it. If you take it for a long time, stopping suddenly can cause withdrawal symptoms. It's best not to drink alcohol while taking prochlorperazine. It can increase the chance of side effects, such as feeling sleepy.",
